UMLS:C3495144:T048:DISO	Apraxias, Articulatory
UMLS:C0752197:T047:DISO	dystonia, adult-onset|dystonias, adult-onset|adult-onset dystonia|adult-onset dystonias|adult onset dystonias
UMLS:C0752196:T047:DISO	ballismus
UMLS:C0752195:T047:DISO	infections, parameningeal|parameningeal infection|infection, perimeningeal|perimeningeal infection|infections, perimeningeal|parameningeal infections|perimeningeal infections|infection, parameningeal
UMLS:C0752194:T047:DISO	schistosomal myelopathy|myelopathy, schistosomal|schistosomal myelopathies|myelopathies, schistosomal
UMLS:C0752193:T047:DISO	schistosomal myeloradiculopathies|schistosomal myeloradiculopathy|myeloradiculopathies, schistosomal|myeloradiculopathy, schistosomal
UMLS:C0752192:T047:DISO	schistosomal myelitis|myelitis, schistosomal
UMLS:C0752191:T047:DISO	neuroschistosomiases|schistosomiasis, central nervous system|neuroschistosomiasis|central nervous system schistosomiasis
UMLS:C0752185:T047:DISO	central nervous system helminthiasis|helminthiasis, central nervous system
UMLS:C0752184:T047:DISO	cerebral helminthiasis|helminthiasis, cerebral
UMLS:C0752183:T047:DISO	protozoal infections, cerebral|protozoal infection, cerebral|cerebral protozoal infection|cerebral protozoal infections|infections, cerebral protozoal|infection, cerebral protozoal
UMLS:C0752182:T047:DISO	central nervous system protozoal infections|protozoal infections, central nervous system|infection, central nervous system, protozoal|infections, protozoal, central nervous system
UMLS:C0752181:T047:DISO	infections, parasitic, central nervous system|parasitic infections, central nervous system|infections, central nervous system, parasitic|central nervous system parasitic infections
UMLS:C0752180:T047:DISO	infections, bacterial, central nervous system|bacterial cns infection|bacterial infections, central nervous system|central nervous system bacterial infections
UMLS:C0752179:T047:DISO	meningoencephalitis, herpes zoster|herpes zoster meningoencephalitis
UMLS:C0752168:T046:DISO	Calculus, Salivary
UMLS:C0752166:T047:DISO	bardet biedl syndrome|syndrome, bardet-biedl|laurence moon bardet biedl syndrome|bardet-biedl syndrome|laurence-moon-bardet-biedl syndrome|bbs|syndrome, laurence-moon-bardet-biedl
UMLS:C0752165:T019:DISO	Central Nervous System Venous Angioma
UMLS:C0752164:T019:DISO	Cavernous Hemangioma, Intracerebral
UMLS:C0752161:T019:DISO	Cavernous Hemangioma, Extracerebral
UMLS:C0752160:T019:DISO	Central Nervous System Cavernous Hemangioma
UMLS:C0752159:T190:DISO	Vascular Malformations, Brain
UMLS:C0752158:T190:DISO	Pontine Capillary Telangiectasias
UMLS:C0752157:T047:DISO	embryonic artery, persistent, cerebral|persistent cerebral embryonic artery|cerebral embryonic artery, persistent
UMLS:C0752156:T190:DISO	Dural arteriovenous fistula
UMLS:C0752155:T190:DISO	Vascular malformation of the nervous system
UMLS:C0752154:T019:DISO	Central Nervous System Congenital Vascular Malformations
UMLS:C0752153:T019:DISO	Capillary Telangiectasia, Brain
UMLS:C0752150:T047:DISO	hypnic headache syndrome|headache, hypnic|headaches, alarm clock|alarm clock headaches|alarm clock headache|hypnic headache|headache syndromes, hypnic|headache, alarm clock|clock headache, alarm|hypnic headache syndromes|headache syndrome, hypnic|clock headaches, alarm
UMLS:C0752149:T047:DISO	intractable headache|headache, intractable|intractable headaches|headaches, intractable
UMLS:C0752147:T047:DISO	daily chronic headaches|chronic daily headache|headaches, chronic daily|headache, chronic daily|chronic daily headaches|daily chronic headache|daily headaches, chronic|daily headache, chronic
UMLS:C0752146:T047:DISO	analgesic rebound headache|headache, analgesic rebound|headaches, analgesic rebound|analgesic rebound headaches
UMLS:C0752144:T047:DISO	brain thrombosis|thromboses, brain|brain thromboses|thrombosis, brain
UMLS:C0752143:T047:DISO	thrombosis, intracranial|thromboses, intracranial|intracranial thrombus|intracranial thromboses|intracranial thrombosis|thrombus, intracranial
UMLS:C0752140:T047:DISO	embolism, intracranial|intracranial embolism
UMLS:C0752138:T047:DISO	arterial disease, intracranial|arterial disorder, intracranial|arterial disorders, intracranial|arterial diseases, intracranial|intracranial arterial disorder|intracranial arterial disease|intracranial arterial disorders|intracranial arterial diseases
UMLS:C0752137:T047:DISO	brain diseases, arterial|arterial diseases, brain|arterial brain disease|brain disorders, arterial|brain disorder, arterial|brain arterial disease|arterial brain disorders|arterial disease, brain|brain arterial diseases|arterial brain diseases|arterial brain disorder
UMLS:C0752135:T046:DISO	Pathological Conditions, Anatomical
UMLS:C0752134:T047:DISO	posterior cerebral artery thrombotic infarction|thrombotic infarction, posterior cerebral artery
UMLS:C0752133:T047:DISO	posterior cerebral artery embolic infarction|embolic infarction, posterior cerebral artery
UMLS:C0752132:T047:DISO	posterior cerebral artery infarction|posterior cerebral artery stroke|infarction, pca|stroke, posterior cerebral artery|pca infarction|infarction, posterior cerebral artery
UMLS:C0752130:T047:DISO	ischemic myelopathy|ischemic myelopathies|myelopathies, ischemic|cord ischemias, spinal|ischemia, spinal cord|spinal cord ischemia|ischemias, spinal cord|spinal cord ischemias|cord ischemia, spinal|myelopathy, ischemic
UMLS:C0752128:T047:DISO	posterior spinal artery syndrome
UMLS:C0752127:T047:DISO	spinal cord vascular diseases|vascular diseases, spinal cord
UMLS:C0752125:T047:DISO	opca3|spinocerebellar ataxia 7|type 7 spinocerebellar ataxia|opca iii|spinocerebellar ataxia type 7|olivopontocerebellar atrophy iii|type ii adca|opca with retinal degeneration|opca with macular degeneration and external ophthalmoplegia|autosomal dominant cerebellar ataxia, type ii|spinocerebellar ataxia-7|adca, type ii|type ii autosomal dominant cerebellar ataxia|sca7
UMLS:C0752124:T047:DISO	spinocerebellar ataxia 6|type 6 spinocerebellar ataxia|spinocerebellar ataxia-6|sca6|spinocerebellar ataxia type 6
UMLS:C0752123:T047:DISO	spinocerebellar ataxia 5|type 5 spinocerebellar ataxia|spinocerebellar ataxia type 5|sca5|spinocerebellar ataxia-5
UMLS:C0752122:T047:DISO	spinocerebellar ataxia 4|spinocerebellar ataxia type 4|type 4 spinocerebellar ataxia|spinocerebellar ataxia, autosomal dominant, with sensory axonal neuropathy|spinocerebellar ataxia-4|sca4
UMLS:C0752121:T047:DISO	wadia-swami syndrome|type 2 spinocerebellar ataxia|spinocerebellar ataxia 2|cerebellar degeneration with slow eye movements|spinocerebellar ataxia-2|spinocerebellar ataxia type 2|sca2
UMLS:C0752120:T047:DISO	spinocerebellar ataxia type 1|schut-haymaker type opca|cpd1|spinocerebellar ataxia 1|opca4|spinocerebellar atrophy i|olivopontocerebellar atrophy i|opca i|olivopontocerebellar atrophy iv|menzel type opca|spinocerebellar ataxia-1|opca1|cerebelloparenchymal disorder i|type 1 spinocerebellar ataxia|sca1|opca iv
UMLS:C0752110:T047:DISO	metabolic disorders, cns, inborn|inborn cns metabolic disorders|central nervous system inborn metabolic diseases|central nervous system inborn metabolic disorders|cns metabolic disorders, inborn|metabolic diseases, inborn, central nervous system
UMLS:C0752109:T047:DISO	inborn metabolic brain syndrome|metabolic diseases, inborn, brain|brain inborn metabolic disorders|inborn errors of metabolism, brain|brain syndrome, metabolic, inborn|encephalopathies, metabolic, inborn|inborn metabolic brain diseases|inborn metabolic disorders, brain|metabolic brain diseases, inborn|inborn metabolic brain disorders|metabolic brain syndrome, inborn|brain diseases, metabolic, inborn
UMLS:C0752107:T047:DISO	brain inherited metabolic disorders|metabolic disorders, familial, brain|inherited metabolic brain diseases|brain familial metabolic disorders|metabolic brain diseases, familial|familial metabolic disorders, brain|inherited metabolic disorders, brain|brain diseases, metabolic, familial|familial metabolic brain diseases|metabolic brain diseases, inherited|metabolic disorders, brain, inherited|brain diseases, metabolic, inherited
UMLS:C0752105:T047:DISO	parkinson disease, juvenile|parkinsonisms, juvenile|disease juvenile parkinsons|juvenile parkinson's disease|parkinson's disease juvenile|parkinsonism, juvenile|disease juvenile parkinson|juvenile parkinson disease|juvenile parkinsonisms|juvenile parkinsonism
UMLS:C0752104:T047:DISO	parkinsonism, familial juvenile|familial juvenile parkinsonism|juvenile parkinsonism, familial
UMLS:C0752100:T047:DISO	autosomal recessive parkinsonism|recessive parkinsonism, autosomal|parkinsonism, autosomal recessive
UMLS:C0752099:T047:DISO	autosomal recessive juvenile parkinson disease|chromosome 6 linked autosomal recessive parkinsonism|juvenile parkinsonism, autosomal recessive|chromosome 6-linked autosomal recessive parkinsonism|autosomal recessive familial parkinson disease|familial parkinson disease, autosomal recessive|parkinson disease, familial, autosomal recessive|parkinsonism, juvenile, autosomal recessive|juvenile parkinson disease, autosomal recessive|autosomal recessive juvenile parkinsonism|autosomal recesssive juvenile parkinsonism
UMLS:C0752098:T047:DISO	dominant parkinsonism, autosomal|autosomal dominant parkinsonism|parkinsonism, autosomal dominant
UMLS:C0752097:T047:DISO	autosomal dominant juvenile parkinson disease|juvenile parkinson disease, autosomal dominant|autosomal dominant juvenile parkinsonism|parkinson disease, autosomal dominant. juvenile|parkinson disease, juvenile, autosomal dominant|juvenile parkinsonism, autosomal dominant|parkinsonism, juvenile, autosomal dominant
UMLS:C0752048:T047:DISO	hypocatalasia|hypocatalasemia
UMLS:C0751967:T047:DISO	multiple sclerosis, relapsing remitting|multiple sclerosis, relapsing-remitting|relapsing-remitting multiple sclerosis|multiple relapsing remitting sclerosis|remitting relapsing multiple sclerosis|relapsing remitting multiple sclerosis|multiple sclerosis, remitting-relapsing|remitting-relapsing multiple sclerosis
UMLS:C0751965:T047:DISO	multiple sclerosis, secondary progressive|secondary progressive multiple sclerosis
UMLS:C0751964:T047:DISO	multiple sclerosis, primary progressive|primary progressive multiple sclerosis
UMLS:C0751963:T047:DISO	millard-gublar syndrome|millard gublar syndrome|syndrome, millard-gublar
UMLS:C0751958:T047:DISO	lymphoma, lymphocytic, intermediate
UMLS:C0751956:T047:DISO	acute cva|strokes, acute|acute stroke|acute strokes|acute cerebrovascular accident|stroke acute|cerebrovascular accident, acute|acute cerebrovascular accidents|cerebrovascular accidents, acute|stroke, acute
UMLS:C0751955:T047:DISO	brain infarction|brain infarctions|infarction, brain|infarctions, brain|infarction brain
UMLS:C0751954:T047:DISO	infarction, venous brain|infarction, brain venous|venous infarctions, brain|brain infarction, venous|brain venous infarction|venous infarction, brain|venous brain infarction|brain infarctions, venous|infarctions, venous brain|brain venous infarctions|infarctions, brain venous|venous brain infarctions
UMLS:C0751953:T047:DISO	posterior circulation brain infarction|brain posterior circulation infarction|infarction, brain, posterior circulation|brain infarction, posterior circulation|infarction, posterior circulation, brain|posterior circulation infarction, brain
UMLS:C0751952:T047:DISO	brain anterior circulation infarction|infarction, anterior circulation, brain|anterior circulation infarction, brain|brain infarction, anterior circulation|anterior circulation brain infarction|infarction, brain, anterior circulation
UMLS:C0751951:T047:DISO	shy-magee syndrome|central core myopathies|central core diseases|myopathies, central core|central core disease of muscle|central core disease|shy magee syndrome|cco|central core myopathy|myopathy, central core|ccd|syndrome, shy-magee
UMLS:C0751950:T047:DISO	neuromuscular junction disease|neuromuscular junction disorders|neuromuscular junction disorder|neuromuscular transmission disorders|neuromuscular junction diseases|neuromuscular transmission disorder
UMLS:C0751948:T047:DISO	sleep related abnormal swallowing syndrome|sleep-related abnormal swallowing syndrome
UMLS:C0751946:T047:DISO	neonatal sleep myoclonus, benign|benign neonatal sleep myoclonus|myoclonus, benign neonatal sleep
UMLS:C0751945:T047:DISO	hypoglossal neuropathies|hypoglossal neuropathy|neuropathy, hypoglossal|neuropathies, hypoglossal
UMLS:C0751944:T047:DISO	taste disorder, glossopharyngeal nerve|glossopharyngeal nerve taste disorder
UMLS:C0751943:T047:DISO	sensory neuropathy, glossopharyngeal nerve|glossopharyngeal nerve sensory neuropathy
UMLS:C0751942:T047:DISO	motor neuropathy, glossopharyngeal|glossopharyngeal motor neuropathies|motor neuropathies, glossopharyngeal|glossopharyngeal motor neuropathy
UMLS:C0751941:T047:DISO	ninth cranial nerve diseases|cranial nerve ix diseases|ninth nerve disorder|cranial nerve ix disorders|glossopharyngeal nerve disorder|glossopharyngeal nerve diseases|glossopharyngeal nerve disease|ix nerve disorder
UMLS:C0751940:T047:DISO	children benign recurrent abducens palsy|benign recurrent abducens palsy of childhood|abducens palsy, childhood, benign recurrent|benign recurrent abducens palsy, children
UMLS:C0751939:T047:DISO	superior oblique palsy, neurogenic|neurogenic superior oblique palsy
UMLS:C0751937:T047:DISO	cranial nerve i diseases|disorders of olfactory nerve|first cranial nerve diseases|olfactory nerve disease|olfactory nerve disorder|disorders of 1st nerve|cranial nerve i disorders|disorder of the 1st nerve|olfactory nerve diseases|disorders of olfactory [1st] nerve|disorder of 1st nerve
UMLS:C0751936:T047:DISO	medial plantar neuropathy|neuropathies, medial plantar|medial plantar neuropathies|neuropathy, medial plantar|plantar neuropathy, medial
UMLS:C0751935:T047:DISO	post-traumatic tibial neuropathy|tibial neuropathy, post traumatic|tibial neuropathies, post-traumatic|post-traumatic tibial neuropathies|tibial neuropathy, post-traumatic|neuropathy, post-traumatic tibial
UMLS:C0751934:T047:DISO	medial plantar nerve disease
UMLS:C0751933:T047:DISO	lateral plantar neuropathies|neuropathies, lateral plantar|lateral plantar neuropathy|plantar neuropathy, lateral|neuropathy, lateral plantar
UMLS:C0751932:T047:DISO	neuropathies, tibial|posterior tibial neuropathies|nerve disease, tibial|popliteal neuropathy, medial|tibial neuropathies|medial popliteal neuropathies|neuropathies, posterior tibial|internal popliteal neuropathy|neuropathy, medial popliteal|medial popliteal neuropathy|neuropathy, tibial|popliteal neuropathy, internal|neuropathies, internal popliteal|tibial neuropathies, posterior|neuropathy, posterior tibial|neuropathies, medial popliteal|tibial neuropathy|nerve diseases, tibial|popliteal neuropathies, internal|posterior tibial nerve diseases|tibial nerve disease|neuropathy, internal popliteal|popliteal neuropathies, medial|posterior tibial neuropathy|tibial neuropathy, posterior|internal popliteal neuropathies|tibial nerve diseases
UMLS:C0751931:T047:DISO	femoral mononeuropathy|femoral nerve disease|femoral nerve diseases|neuropathy, femoral|mononeuropathy, femoral|femoral nerve lesions|femoral lesion nerve|femoral mononeuropathies|femoral neuropathies|neuropathies, femoral|mononeuropathies, femoral|femoral nerve disorder|nerve diseases, femoral|nerve disease, femoral|femoral nerve palsy|femoral neuropathy
UMLS:C0751930:T047:DISO	femoral neuritis
UMLS:C0751929:T047:DISO	neuropathy, superficial peroneal|superficial peroneal neuropathies|superficial peroneal neuropathy|neuropathies, superficial peroneal|peroneal neuropathy, superficial|peroneal neuropathies, superficial
UMLS:C0751928:T047:DISO	deep peroneal neuropathies|neuropathies, deep peroneal|peroneal neuropathy, deep|neuropathy, deep peroneal|deep peroneal neuropathy|peroneal neuropathies, deep
UMLS:C0751927:T047:DISO	neuropathy, fibular|fibular neuropathies|fibular neuropathy|neuropathies, fibular
UMLS:C0751926:T047:DISO	neuropathy, lateral popliteal|peroneal neuropathies, common|neuropathy, external popliteal|popliteal neuropathy, lateral|external popliteal neuropathies|common peroneal neuropathies|peroneal neuropathy, common|common peroneal neuropathy|popliteal neuropathies, lateral|neuropathies, external popliteal|neuropathies, common peroneal|external popliteal neuropathy|popliteal neuropathies, external|lateral popliteal neuropathy|lateral popliteal neuropathies|popliteal neuropathy, external|neuropathy, common peroneal|neuropathies, lateral popliteal
UMLS:C0751925:T047:DISO	palsy, sciatic nerve|sciatic nerve palsies|nerve palsies, sciatic|palsies, sciatic nerve|sciatic nerve palsy|nerve palsy, sciatic
UMLS:C0751924:T047:DISO	neuralgia neuritis, sciatic nerve|neuralgia-neuritides, sciatic nerve|sciatic nerve neuralgia-neuritis|neuralgia-neuritis, sciatic nerve|sciatic nerve neuralgia-neuritides
UMLS:C0751923:T047:DISO	crutch palsies|crutch palsy|palsy, crutch|palsies, crutch
UMLS:C0751922:T047:DISO	nerve diseases, median|nerve disease, median|median nerve diseases|median neuropathy|median nerve disease|median nerve palsy|neuropathies, median|median neuropathies|neuropathy, median|lesions median nerve|median nerve lesion
UMLS:C0751920:T047:DISO	medial neuropathies, distal|distal medial neuropathy|medial neuropathy, distal|neuropathies, distal medial|distal medial neuropathies|neuropathy, distal medial
